	22.0
changer	12.0
changerait	1.0
changes	1.0
changrent	5.0
changs	1.0
chanson	3.0
chanta	1.0
chantait	1.0
chanter	3.0
chantera	1.0
chantonna	1.0
chantonnant	1.0
chantons	1.0
chapeau	31.0
chapeaux	2.0
chapiteau	1.0
chapitre	18.0
chapitres	1.0
chapp	1.0
chappa	1.0
chappait	1.0
chapper	12.0
chaque	44.0
char	1.0
charg	4.0
charge	4.0
chargea	1.0
charger	1.0
chargs	3.0
chariot	9.0
charlie	22.0
charmante	1.0
charmants	1.0
charnire	1.0
chass	2.0
chassa	2.0
chasse	3.0
chasser	4.0
chat	25.0
chatouillaient	1.0
chatouillait	1.0
chats	5.0
chatte	2.0
chaud	2.0
chaude	1.0
chaudron	17.0
chaudrons	3.0
chaudronstoutes	1.0
chauffaient	1.0
chauss	1.0
chaussant	1.0
chausse	1.0
chaussette	1.0
chaussettes	4.0
chaussons	1.0
chausss	1.0
chaussures	3.0
chauve	6.0
chauvesouris	2.0
chauvessouris	1.0
chec	1.0
checs	3.0
chef	4.0
chelle	1.0
chemin	40.0
chemine	15.0
chemingringotts	1.0
chepstow	1.0
cher	11.0
cherch	2.0
chercha	2.0
cherchaient	3.0
cherchait	6.0
cherchant	2.0
cherche	2.0
chercher	36.0
cherchera	1.0
cherches	1.0
cherchez	1.0
cherchions	1.0
cheval	8.0
chevaux	1.0
chevele	1.0
chevelure	2.0
chevet	1.0
cheveux	36.0
chevilles	4.0
chevrotante	1.0
chez	40.0
chien	30.0
chiens	1.0
chiffre	1.0
chiffres	1.0
chignon	1.0
childrens	1.0
chips	3.0
chiquier	1.0
chmage	1.0
chne	5.0
cho	1.0
choc	11.0
choco	1.0
chocogrenouille	8.0
chocogrenouilles	6.0
chocolat	6.0
chocolatfraise	1.0
choisi	3.0
choisie	1.0
choisir	2.0
choisis	1.0
choisissait	1.0
choisissent	1.0
choisit	2.0
choix	4.0
choixpeau	6.0
choqu	2.0
choque	2.0
chose	152.0
choses	43.0
chosesl	1.0
chou	4.0
chouette	7.0
chouettes	2.0
chourave	4.0
choux	1.0
chri	3.0
chrie	1.0
chrubinet	1.0
chteau	33.0
chtiment	1.0
chuchota	7.0
chuchotaient	3.0
chuchotait	1.0
chuchotatil	1.0
chuchotement	1.0
chuchoter	1.0
chur	3.0
chut	3.0
chute	8.0
chutes	1.0
chvres	1.0
cible	1.0
cicatrice	21.0
cicatrices	1.0
ciel	22.0
cijoint	1.0
cill	1.0
cime	2.0
ciment	1.0
cingl	2.0
cinma	1.0
cinmas	1.0
cinq	26.0
cinquantaine	1.0
cinquante	12.0
cinquantedeux	1.0
cinquantehuit	1.0
cinquime	1.0
cintre	1.0
circ	1.0
circonstances	1.0
circulent	1.0
cire	2.0
cires	1.0
cireux	1.0
cirque	1.0
ciseaux	1.0
citron	5.0
citrouille	1.0
citrouilles	1.0
cl	15.0
clair	15.0
clairaient	1.0
claire	3.0
clairement	1.0
claires	1.0
clairire	9.0
clairs	2.0
claqua	6.0
claquant	1.0
claquement	2.0
claquements	1.0
claquer	2.0
claqurent	1.0
clart	1.0
classe	28.0
classes	1.0
clat	1.0
clata	7.0
clatant	2.0
clatante	1.0
clater	4.0
clatrent	3.0
clats	1.0
claudiquant	1.0
clbr	1.0
clbre	18.0
clbrer	3.0
clbres	5.0
clbrit	2.0
clichs	1.0
client	3.0
clients	4.0
cligna	4.0
cligner	2.0
clin	4.0
cliodna	1.0
cliquetrent	1.0
clmente	1.0
cloche	1.0
clochette	1.0
clopina	2.0
clos	2.0
clou	2.0
cloua	1.0
clouait	1.0
clous	2.0
cls	11.0
cltures	1.0
cobras	1.0
cochon	5.0
coco	2.0
code	1.0
coffre	6.0
coffres	3.0
cogna	2.0
cognac	4.0
cognait	1.0
cognard	9.0
cognards	10.0
cogne	1.0
cogner	2.0
coiff	3.0
coiffe	1.0
coiffeur	1.0
coiffs	1.0
coin	18.0
coinc	2.0
coincer	1.0
cole	13.0
colimaon	3.0
colis	1.0
coll	3.0
colla	1.0
collaboration	2.0
collaient	1.0
collant	2.0
colle	4.0
collecter	1.0
collection	3.0
college	1.0
colles	1.0
collge	18.0
collgues	1.0
collier	1.0
collines	1.0
collision	2.0
collrent	2.0
colori	1.0
colre	13.0
colres	1.0
combat	5.0
combattre	1.0
combattu	1.0
combien	7.0
combin	1.0
combinaison	1.0
comble	2.0
comdie	1.0
commanda	1.0
commande	1.0
commandeur	1.0
comme	185.0
commena	12.0
commenaient	2.0
commenait	5.0
commenatil	1.0
commenc	11.0
commence	10.0
commencent	1.0
commencer	19.0
commencera	1.0
commencerai	1.0
commences	1.0
commencrent	1.0
comment	82.0
commenta	1.0
commentaire	1.0
commentaires	1.0
commentateur	1.0
commenter	1.0
commerce	1.0
commettre	2.0
commis	2.0
commises	1.0
commun	3.0
commune	20.0
communes	1.0
communs	1.0
compacte	1.0
compagnie	11.0
compar	3.0
compare	2.0
compares	1.0
compartiment	13.0
